,Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
0,Atlanta Falcons,16,459,684,4714,5493,8.0,3126,6.8,4.6,1588,3.5,19,28,3,17,2.6%,96,14.7%,494,75.7%,50,2.5,217,56,68,174,23.0%,21,7.1
1,Buffalo Bills,16,299,513,3229,4690,9.1,1982,6.6,3.9,1247,4.2,13,25,4,36,7.4%,97,20.0%,352,72.7%,40,2.3,225,47,44,131,22.0%,43,7.3
2,Carolina Panthers,16,382,633,3650,5275,8.3,2076,5.4,3.3,1574,4.1,17,31,2,33,5.5%,115,19.2%,438,73.0%,58,2.4,184,75,35,168,23.5%,25,5.0
3,Chicago Bears,16,371,580,3291,4533,7.8,2029,5.5,3.5,1262,3.4,9,7,3,32,5.6%,102,17.9%,428,75.1%,45,2.4,152,64,37,146,22.5%,23,5.3
4,Cincinnati Bengals,16,356,616,3652,4735,7.7,2137,6.0,3.5,1515,4.3,16,20,7,31,5.3%,111,18.8%,415,70.5%,48,2.3,228,55,31,134,19.7%,16,8.1
5,Cleveland Browns,16,318,539,3554,4628,8.6,2022,6.4,3.8,1532,4.8,20,20,2,31,6.0%,93,18.0%,365,70.6%,41,2.3,213,65,24,130,21.8%,17,7.9
6,Indianapolis Colts,16,307,513,3108,4101,8.0,1652,5.4,3.2,1456,4.7,12,22,3,27,5.5%,93,19.1%,360,73.8%,32,2.6,165,63,61,156,26.9%,35,6.0
7,Arizona Cardinals,16,355,554,3477,4127,7.4,1911,5.4,3.4,1566,4.4,18,24,4,18,3.4%,93,17.7%,386,73.4%,50,2.3,155,63,16,129,20.3%,30,7.3
8,Dallas Cowboys,16,388,597,4751,5539,9.3,2984,7.7,5.0,1767,4.6,9,15,1,36,6.2%,86,14.8%,451,77.6%,23,2.6,155,41,57,121,18.9%,20,7.3
9,Denver Broncos,16,312,504,3115,3483,6.9,1697,5.4,3.4,1418,4.5,12,25,1,27,5.6%,85,17.8%,358,74.9%,41,2.4,155,62,36,139,24.6%,21,5.9
10,Detroit Lions,16,344,571,3900,5456,9.6,2683,7.8,4.7,1217,3.5,13,16,4,20,3.6%,125,22.7%,371,67.3%,43,2.5,177,59,47,149,23.2%,28,7.0
11,Green Bay Packers,16,356,573,3733,5015,8.8,1994,5.6,3.5,1739,4.9,3,31,1,24,4.4%,115,21.3%,404,74.7%,36,2.6,154,57,46,139,21.9%,26,7.8
12,Houston Texans,16,355,534,3783,4718,8.8,2261,6.4,4.2,1522,4.3,6,20,2,21,4.1%,87,17.0%,393,76.8%,49,2.5,183,55,41,145,22.9%,49,7.1
13,Jacksonville Jaguars,16,364,589,3760,4344,7.4,2077,5.7,3.5,1683,4.6,10,23,1,28,5.0%,97,17.2%,420,74.3%,42,2.4,174,62,34,138,20.2%,51,6.9
14,Kansas City Chiefs,16,378,576,4498,4912,8.5,2453,6.5,4.3,2045,5.4,9,20,1,28,5.0%,100,18.0%,427,76.9%,25,2.5,129,60,45,130,20.8%,24,9.0
15,Miami Dolphins,16,371,615,3804,5419,8.8,2512,6.8,4.1,1292,3.5,22,8,3,36,6.0%,112,18.5%,432,71.5%,58,2.3,223,64,81,203,28.5%,40,7.4
16,Minnesota Vikings,16,319,466,3523,3539,7.6,1878,5.9,4.0,1645,5.2,11,24,0,20,4.5%,69,15.6%,348,78.7%,28,2.7,110,56,33,117,23.3%,9,5.6
17,New Orleans Saints,16,418,581,4244,3742,6.4,2174,5.2,3.7,2070,5.0,8,18,5,29,5.2%,62,11.1%,462,82.8%,25,2.4,162,48,27,100,16.1%,14,4.1
18,New England Patriots,16,378,620,3961,4676,7.5,2259,6.0,3.6,1702,4.5,6,40,0,34,5.9%,120,20.7%,424,73.1%,28,2.5,200,55,38,121,18.6%,3,11.0
19,New York Giants,16,376,607,3731,4889,8.1,2245,6.0,3.7,1486,4.0,10,16,0,21,3.6%,108,18.3%,425,71.9%,43,2.5,169,58,74,175,25.8%,28,8.4
20,New York Jets,16,323,521,3111,4065,7.8,1693,5.2,3.2,1418,4.4,13,26,2,29,5.9%,88,17.8%,369,74.8%,52,2.5,203,76,49,177,30.5%,8,8.0
21,Tennessee Titans,16,297,448,3582,3869,8.6,2103,7.1,4.7,1479,5.0,8,14,5,19,4.4%,66,15.4%,332,77.4%,56,2.6,161,48,36,140,26.3%,28,9.0
22,Philadelphia Eagles,16,391,613,3833,4906,8.0,2244,5.7,3.7,1589,4.1,17,10,1,29,4.8%,106,17.6%,435,72.3%,37,2.4,184,67,53,157,23.2%,28,6.3
23,Pittsburgh Steelers,16,315,510,2981,4019,7.9,1461,4.6,2.9,1520,4.8,8,29,0,32,6.7%,95,19.8%,352,73.2%,32,2.5,206,64,46,142,25.3%,19,6.8
24,Oakland Raiders,16,367,523,3926,3476,6.6,1970,5.4,3.8,1956,5.3,9,28,2,25,5.1%,56,11.4%,406,82.4%,29,2.5,111,67,19,115,20.3%,14,5.5
25,Los Angeles Rams,16,397,632,4499,4853,7.7,2393,6.0,3.8,2106,5.3,17,16,1,27,4.4%,124,20.2%,438,71.2%,22,2.6,221,52,48,122,18.4%,10,3.8
26,Baltimore Ravens,16,289,440,3225,3822,8.7,1903,6.6,4.3,1322,4.6,14,12,2,14,3.3%,74,17.4%,322,75.6%,28,2.5,162,31,25,84,16.5%,40,11.1
27,Los Angeles Chargers,16,394,597,4426,5057,8.5,2444,6.2,4.1,1982,5.0,13,16,3,26,4.5%,89,15.4%,444,76.8%,34,2.4,115,40,56,130,20.4%,6,5.5
28,Seattle Seahawks,16,341,517,3791,4869,9.4,2402,7.0,4.6,1389,4.1,9,20,3,17,3.4%,91,18.4%,376,76.1%,48,2.4,221,71,58,177,29.0%,45,7.4
29,San Francisco 49ers,16,331,478,3792,3124,6.5,1837,5.5,3.8,1955,5.9,6,7,2,28,6.0%,64,13.6%,379,80.8%,36,2.4,201,41,32,109,20.7%,12,4.7
30,Tampa Bay Buccaneers,16,382,630,4845,6498,10.3,3254,8.5,5.2,1591,4.2,11,23,2,23,3.8%,125,20.7%,423,69.9%,47,2.5,243,61,54,162,22.9%,31,7.4
31,Washington Redskins,16,298,479,2812,3639,7.6,1751,5.9,3.7,1061,3.6,11,14,3,26,5.6%,85,18.4%,339,73.4%,50,2.5,146,69,47,166,30.4%,17,6.4
