Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
Atlanta Falcons,16,459,684,4714,50,2.5,217,56,68,174,23.0%,21,7.1
Buffalo Bills,16,299,513,3229,40,2.3,225,47,44,131,22.0%,43,7.3
Carolina Panthers,16,382,633,3650,58,2.4,184,75,35,168,23.5%,25,5.0
Chicago Bears,16,371,580,3291,45,2.4,152,64,37,146,22.5%,23,5.3
Cincinnati Bengals,16,356,616,3652,48,2.3,228,55,31,134,19.7%,16,8.1
Cleveland Browns,16,318,539,3554,41,2.3,213,65,24,130,21.8%,17,7.9
Indianapolis Colts,16,307,513,3108,32,2.6,165,63,61,156,26.9%,35,6.0
Arizona Cardinals,16,355,554,3477,50,2.3,155,63,16,129,20.3%,30,7.3
Dallas Cowboys,16,388,597,4751,23,2.6,155,41,57,121,18.9%,20,7.3
Denver Broncos,16,312,504,3115,41,2.4,155,62,36,139,24.6%,21,5.9
Detroit Lions,16,344,571,3900,43,2.5,177,59,47,149,23.2%,28,7.0
Green Bay Packers,16,356,573,3733,36,2.6,154,57,46,139,21.9%,26,7.8
Houston Texans,16,355,534,3783,49,2.5,183,55,41,145,22.9%,49,7.1
Jacksonville Jaguars,16,364,589,3760,42,2.4,174,62,34,138,20.2%,51,6.9
Kansas City Chiefs,16,378,576,4498,25,2.5,129,60,45,130,20.8%,24,9.0
Miami Dolphins,16,371,615,3804,58,2.3,223,64,81,203,28.5%,40,7.4
Minnesota Vikings,16,319,466,3523,28,2.7,110,56,33,117,23.3%,9,5.6
New Orleans Saints,16,418,581,4244,25,2.4,162,48,27,100,16.1%,14,4.1
New England Patriots,16,378,620,3961,28,2.5,200,55,38,121,18.6%,3,11.0
New York Giants,16,376,607,3731,43,2.5,169,58,74,175,25.8%,28,8.4
New York Jets,16,323,521,3111,52,2.5,203,76,49,177,30.5%,8,8.0
Tennessee Titans,16,297,448,3582,56,2.6,161,48,36,140,26.3%,28,9.0
Philadelphia Eagles,16,391,613,3833,37,2.4,184,67,53,157,23.2%,28,6.3
Pittsburgh Steelers,16,315,510,2981,32,2.5,206,64,46,142,25.3%,19,6.8
Oakland Raiders,16,367,523,3926,29,2.5,111,67,19,115,20.3%,14,5.5
Los Angeles Rams,16,397,632,4499,22,2.6,221,52,48,122,18.4%,10,3.8
Baltimore Ravens,16,289,440,3225,28,2.5,162,31,25,84,16.5%,40,11.1
Los Angeles Chargers,16,394,597,4426,34,2.4,115,40,56,130,20.4%,6,5.5
Seattle Seahawks,16,341,517,3791,48,2.4,221,71,58,177,29.0%,45,7.4
San Francisco 49ers,16,331,478,3792,36,2.4,201,41,32,109,20.7%,12,4.7
Tampa Bay Buccaneers,16,382,630,4845,47,2.5,243,61,54,162,22.9%,31,7.4
Washington Redskins,16,298,479,2812,50,2.5,146,69,47,166,30.4%,17,6.4