Year_Def,Rk_Def,Tm_Def,Win_Def,Loss_Def,G_Def,PF_Def,Total Yds_Def,Ply_Def,Y/P_Def,TO_Def,FL_Def,Total 1stD_Def,Cmp_Def,Pass Att_Def,Pass Yds_Def,Pass TD_Def,Int_Def,Pass NY/A_Def,Pass 1stD_Def,Rush Att_Def,Rush Yds_Def,Rush TD_Def,Rush Y/A_Def,Rush 1stD_Def,Pen_Def,Pen Yds_Def,1stPy_Def,Sc%_Def,TO%_Def,EXP_Def
2002,1,Tampa Bay Buccaneers,12,4,16,196,4044,963,4.2,38,7,236,259,510,2490,10,31,4.5,131,410,1554,8,3.8,79,93,749,26,17.8,18.3,284.7
2002,2,Philadelphia Eagles,12,4,16,241,4754,1009,4.7,38,23,272,333,563,3094,18,15,5,160,390,1660,5,4.3,83,112,969,29,20.6,18,173.69
2002,3,New York Giants,10,6,16,279,4949,985,5,25,14,266,311,541,3119,17,11,5.4,162,407,1830,12,4.5,87,120,897,17,27,12.4,63.16
2002,4,Miami Dolphins,9,7,16,301,4656,974,4.8,30,9,285,294,520,3102,20,21,5.5,162,407,1554,9,3.8,86,106,826,37,30.3,14.4,117.76
2002,5,Carolina Panthers,7,9,16,302,4646,1022,4.5,33,16,271,293,522,2993,18,17,5.2,155,448,1653,12,3.7,95,98,782,21,25.5,14.2,123.24
2002,6,Oakland Raiders,11,5,16,304,4979,997,5,31,10,319,346,570,3526,21,21,5.8,189,384,1453,14,3.8,96,103,787,34,28.7,16.6,96.65
2002,7,Indianapolis Colts,10,6,16,313,4909,963,5.1,27,17,279,288,468,2917,19,10,5.8,148,459,1992,16,4.3,114,102,746,17,31.5,12.4,10.05
2002,8,Atlanta Falcons,9,6,16,314,5334,1002,5.3,39,15,288,285,514,3287,23,24,5.9,171,441,2047,12,4.6,97,112,920,20,27.9,19.5,44.99
2002,9,Jacksonville Jaguars,6,10,16,315,5335,1042,5.1,27,13,324,314,519,3264,19,14,5.9,188,487,2071,14,4.3,112,96,717,24,31.8,14.8,13.57
2002,10,Cleveland Browns,9,7,16,320,5348,1024,5.2,29,12,291,299,513,3269,20,17,6,164,483,2079,12,4.3,107,91,726,20,31.7,13.2,-16.3
2002,11,Tennessee Titans,11,5,16,324,4964,974,5.1,29,11,297,339,562,3540,27,18,5.9,197,372,1424,7,3.8,75,99,853,25,27.1,14.7,40.11
2002,12,Green Bay Packers,12,4,16,328,4985,987,5.1,45,21,294,287,531,2987,24,24,5.2,143,413,1998,14,4.8,122,98,945,29,27.3,21.7,98.19
2002,13,Dallas Cowboys,5,11,16,329,5267,1079,4.9,30,11,291,334,574,3449,22,19,5.8,178,481,1818,10,3.8,90,119,919,23,28.2,13.9,76.24
2002,14,New York Jets,9,7,16,336,5463,1008,5.4,23,8,313,359,551,3490,17,15,6,178,427,1973,17,4.6,116,99,809,19,36.4,12.7,-30.74
2002,15,Denver Broncos,9,7,16,344,4826,985,4.9,22,13,298,360,566,3337,15,9,5.5,176,379,1489,21,3.9,100,99,829,22,34.5,10.7,20.54
2002,16,Pittsburgh Steelers,10,5,16,345,4835,982,4.9,36,17,279,336,573,3460,19,19,5.6,178,359,1375,16,3.8,77,106,927,24,29.8,16.5,57.24
2002,17,New England Patriots,9,7,16,346,5377,1032,5.2,29,11,315,314,531,3179,23,18,5.6,158,467,2198,17,4.7,129,99,928,28,32.1,15.5,-19.07
2002,18,San Francisco 49ers,10,6,16,351,5158,978,5.3,27,8,307,340,552,3506,23,19,6,188,394,1652,14,4.2,96,82,681,23,34.9,14.8,-39.81
2002,19,Baltimore Ravens,7,9,16,354,5353,1077,5,31,6,316,360,573,3591,16,25,5.9,190,471,1762,17,3.7,95,104,874,31,32.5,15.7,71.18
2002,20,Houston Texans,4,12,16,356,5230,1056,5,21,11,291,281,512,3141,23,10,5.7,155,509,2089,14,4.1,116,102,955,20,29,8.6,34.65
2002,21,Washington Redskins,7,9,16,365,4787,1006,4.8,26,12,281,304,531,3033,19,14,5.3,155,435,1754,14,4,96,119,972,30,33.3,13,87.3
2002,22,San Diego Chargers,8,8,16,367,6034,1056,5.7,27,10,326,375,607,4295,26,17,6.6,205,410,1739,15,4.2,91,103,854,30,31.6,13.8,-47.05
2002,23,Seattle Seahawks,7,9,16,369,5852,1083,5.4,30,11,356,321,555,3411,21,19,5.9,191,500,2441,18,4.9,140,99,816,25,34.5,15.8,-41.46
2002,24,St. Louis Rams,7,9,16,369,5025,944,5.3,26,14,282,292,461,3209,15,12,6.4,148,445,1816,15,4.1,105,99,755,29,30.9,14.4,40.54
2002,25,Chicago Bears,4,12,16,379,5606,1086,5.2,28,19,328,335,547,3530,24,9,6.1,185,504,2076,13,4.1,110,115,935,33,36.6,13.4,3.23
2002,26,New Orleans Saints,9,7,16,388,5796,1071,5.4,38,18,327,343,593,3805,25,20,6,191,439,1991,18,4.5,108,110,953,28,33.7,18.4,28.52
2002,27,Buffalo Bills,8,8,16,397,5189,999,5.2,19,9,303,281,495,3067,24,10,5.8,160,473,2122,20,4.5,107,117,1053,36,33.5,10.1,-7.64
2002,28,Kansas City Chiefs,8,8,16,399,6248,1081,5.8,31,13,367,403,616,4181,27,18,6.4,227,431,2067,19,4.8,120,100,827,20,39.6,16.5,-73.38
2002,29,Arizona Cardinals,5,11,16,417,6020,1046,5.8,25,8,335,335,535,3874,29,17,7,196,490,2146,17,4.4,117,111,969,22,36.4,12.3,-93.81
2002,30,Minnesota Vikings,6,10,16,442,5769,963,6,23,7,315,335,542,4103,33,16,7.2,198,394,1666,15,4.2,83,100,824,34,36.9,12.3,-57.34
2002,31,Detroit Lions,3,13,16,451,6117,1119,5.5,24,14,360,371,591,4150,27,10,6.7,221,495,1967,19,4,111,114,981,28,37.1,11.4,-61.93
2002,32,Cincinnati Bengals,2,14,16,456,5265,976,5.4,20,11,315,287,454,3262,30,9,6.8,182,498,2003,16,4,104,101,867,29,38.5,10.6,-62.55
